protocol,profile,family,m,q,n,phase,backend,sample_count,failed_count,mean_ms,median_ms,std_ms,min_ms,max_ms,p95_ms,coefficient_of_variation,completed,error_codes
C2LAKE,paper_literal_m160,paper_literal,160,25600,4687,PartialPrivateKeyExtract,fast,100,0,143.13736795,131.381164,22.148173901002966,125.554167,214.587843,184.102115,0.15473369545777627,True,
C2LAKE,paper_literal_m160,paper_literal,160,25600,4687,SetSecretValue,fast,100,0,142.30252889,129.918593,22.078908740709796,124.740278,218.187236,182.859662,0.15515471800066755,True,
C2LAKE,paper_literal_m160,paper_literal,160,25600,4687,Setup,fast,100,0,304.65501474,279.118789,42.37684007684054,271.602487,413.149992,384.190406,0.1390977926721671,True,
C2LAKE,paper_literal_m160,paper_literal,160,25600,4687,full_handshake,fast,100,0,986.99783702,892.3930359999999,154.96877710594885,867.143168,1404.206818,1258.715849,0.15701024996553123,True,
C2LAKE,paper_literal_m160,paper_literal,160,25600,4687,initiator_create,fast,100,0,340.3671892,308.5489625,57.47280022853945,298.042743,600.504615,437.379158,0.1688552893821043,True,
C2LAKE,paper_literal_m160,paper_literal,160,25600,4687,initiator_total,fast,100,0,493.33954689999996,447.37591999999995,80.68594265109706,431.518625,792.052693,639.343772,0.16355052652499422,True,
C2LAKE,paper_literal_m160,paper_literal,160,25600,4687,initiator_verify_and_finish,fast,100,0,152.9723577,138.7573935,26.54857647374991,131.540421,251.410233,195.143192,0.17355146297617605,True,
C2LAKE,paper_literal_m160,paper_literal,160,25600,4687,responder_total,fast,100,0,492.92618016,446.02332049999995,76.86119557765424,432.655035,674.572996,638.47975,0.1559284101175265,True,
C2LAKE,paper_literal_m160,paper_literal,160,25600,4687,responder_verify_and_reply,fast,100,0,492.92618016,446.02332049999995,76.86119557765424,432.655035,674.572996,638.47975,0.1559284101175265,True,
C2LAKE,paper_literal_m256,paper_literal,256,65536,8192,PartialPrivateKeyExtract,fast,0,100,,,,,,,,False,timeout
C2LAKE,paper_literal_m256,paper_literal,256,65536,8192,SetSecretValue,fast,0,100,,,,,,,,False,timeout
C2LAKE,paper_literal_m256,paper_literal,256,65536,8192,Setup,fast,0,100,,,,,,,,False,timeout
C2LAKE,paper_literal_m256,paper_literal,256,65536,8192,full_handshake,fast,0,100,,,,,,,,False,timeout
C2LAKE,paper_literal_m256,paper_literal,256,65536,8192,initiator_create,fast,0,100,,,,,,,,False,timeout
C2LAKE,paper_literal_m256,paper_literal,256,65536,8192,initiator_total,fast,0,100,,,,,,,,False,timeout
C2LAKE,paper_literal_m256,paper_literal,256,65536,8192,initiator_verify_and_finish,fast,0,100,,,,,,,,False,timeout
C2LAKE,paper_literal_m256,paper_literal,256,65536,8192,responder_total,fast,0,100,,,,,,,,False,timeout
C2LAKE,paper_literal_m256,paper_literal,256,65536,8192,responder_verify_and_reply,fast,0,100,,,,,,,,False,timeout
C2LAKE,paper_literal_m32,paper_literal,32,1024,640,PartialPrivateKeyExtract,fast,100,0,4.67260473,4.115726,1.9860096326739034,2.311957,11.798574,8.586482,0.42503266324303524,True,
C2LAKE,paper_literal_m32,paper_literal,32,1024,640,SetSecretValue,fast,100,0,1.35890593,1.289529,0.2367940802458539,1.138087,2.632096,1.693595,0.17425347481253092,True,
C2LAKE,paper_literal_m32,paper_literal,32,1024,640,Setup,fast,100,0,12.95519384,12.6785485,1.7094265041927899,11.580433,27.897163,13.91332,0.1319491259879744,True,
C2LAKE,paper_literal_m32,paper_literal,32,1024,640,full_handshake,fast,100,0,54.92948689,52.5935675,17.63584460412213,25.648932,113.344371,90.979381,0.3210633414333379,True,
C2LAKE,paper_literal_m32,paper_literal,32,1024,640,initiator_create,fast,100,0,7.81910959,6.786531,3.669344000796675,3.581364,22.93176,13.957932,0.4692790091456788,True,
C2LAKE,paper_literal_m32,paper_literal,32,1024,640,initiator_total,fast,100,0,28.241279759999998,26.252524,9.551743253958325,12.271035,65.464051,44.785044,0.33821920731393673,True,
C2LAKE,paper_literal_m32,paper_literal,32,1024,640,initiator_verify_and_finish,fast,100,0,20.42217017,19.9133405,8.838610605862431,5.898293,42.532291,37.454689,0.43279487597485,True,
C2LAKE,paper_literal_m32,paper_literal,32,1024,640,responder_total,fast,100,0,27.70667401,25.0938545,9.432368076943206,12.730589,52.488773,47.704157,0.340436678669509,True,
C2LAKE,paper_literal_m32,paper_literal,32,1024,640,responder_verify_and_reply,fast,100,0,27.70667401,25.0938545,9.432368076943206,12.730589,52.488773,47.704157,0.340436678669509,True,
C2LAKE,paper_literal_m48,paper_literal,48,2304,1073,PartialPrivateKeyExtract,fast,100,0,9.69252567,9.386334999999999,1.5276264505306558,7.515356,14.366917,12.722197,0.15760870825020531,True,
C2LAKE,paper_literal_m48,paper_literal,48,2304,1073,SetSecretValue,fast,100,0,6.57879598,6.420082,1.0145708691275948,4.506243,11.15196,8.118591,0.1542183208313438,True,
C2LAKE,paper_literal_m48,paper_literal,48,2304,1073,Setup,fast,100,0,23.766447600000003,23.3956425,2.07607076901747,21.427458,39.077744,26.151256,0.08735301143690778,True,
C2LAKE,paper_literal_m48,paper_literal,48,2304,1073,full_handshake,fast,100,0,80.17881371,77.15462450000001,16.032545277485507,54.09611,139.012523,109.615226,0.19995987138789395,True,
C2LAKE,paper_literal_m48,paper_literal,48,2304,1073,initiator_create,fast,100,0,19.665111460000002,18.975384499999997,3.323011591221209,15.002966,34.49491,26.445854,0.16898005373528702,True,
C2LAKE,paper_literal_m48,paper_literal,48,2304,1073,initiator_total,fast,100,0,39.47241634,38.468380999999994,7.391734479869498,27.827418,66.943161,51.26045,0.18726328827199176,True,
C2LAKE,paper_literal_m48,paper_literal,48,2304,1073,initiator_verify_and_finish,fast,100,0,19.80730488,17.920366,6.94053489845172,10.59118,49.626849,31.47912,0.3504027903089317,True,
C2LAKE,paper_literal_m48,paper_literal,48,2304,1073,responder_total,fast,100,0,38.940915759999996,38.7094685,6.8353902697144004,26.993045,60.497113,50.760304,0.17553234525459452,True,
C2LAKE,paper_literal_m48,paper_literal,48,2304,1073,responder_verify_and_reply,fast,100,0,38.940915759999996,38.7094685,6.8353902697144004,26.993045,60.497113,50.760304,0.17553234525459452,True,
C2LAKE,paper_literal_m64,paper_literal,64,4096,1536,PartialPrivateKeyExtract,fast,100,0,16.52173353,16.282733999999998,1.3676673687606633,14.551701,22.335332,18.944378,0.0827798951167725,True,
C2LAKE,paper_literal_m64,paper_literal,64,4096,1536,SetSecretValue,fast,100,0,13.04332003,12.877720499999999,0.7673852300744873,11.684393,15.985465,14.275276,0.05883358135118052,True,
C2LAKE,paper_literal_m64,paper_literal,64,4096,1536,Setup,fast,100,0,37.687338260000004,37.3093555,1.9990511402581796,35.247916,49.271194,39.926317,0.05304304396524339,True,
C2LAKE,paper_literal_m64,paper_literal,64,4096,1536,full_handshake,fast,100,0,117.37975708,114.484123,12.461728694521273,95.470074,156.561873,144.130846,0.10616590973201623,True,
C2LAKE,paper_literal_m64,paper_literal,64,4096,1536,initiator_create,fast,100,0,34.4449149,33.825911000000005,3.0897900617582756,29.812786,46.676193,40.832277,0.08970235724862469,True,
C2LAKE,paper_literal_m64,paper_literal,64,4096,1536,initiator_total,fast,100,0,59.515000060000006,58.3592185,7.038442260348632,48.357695,84.046427,72.472475,0.1182633328279061,True,
C2LAKE,paper_literal_m64,paper_literal,64,4096,1536,initiator_verify_and_finish,fast,100,0,25.070085159999998,24.173962,5.870955469131813,16.022817,48.212582,36.758849,0.23418171225437567,True,
C2LAKE,paper_literal_m64,paper_literal,64,4096,1536,responder_total,fast,100,0,60.19159785,57.8669605,7.685560424900522,48.570574,84.896627,74.096492,0.1276849377558187,True,
C2LAKE,paper_literal_m64,paper_literal,64,4096,1536,responder_verify_and_reply,fast,100,0,60.19159785,57.8669605,7.685560424900522,48.570574,84.896627,74.096492,0.1276849377558187,True,
C2LAKE,paper_literal_m80,paper_literal,80,6400,2024,PartialPrivateKeyExtract,fast,100,0,25.295160139999997,25.121995,1.7046781540169176,22.364881,30.749626,28.520921,0.06739147507199446,True,
C2LAKE,paper_literal_m80,paper_literal,80,6400,2024,SetSecretValue,fast,100,0,20.10850144,19.584381999999998,2.2541623787415412,17.848999,31.071444,23.739721,0.11209996853656844,True,
C2LAKE,paper_literal_m80,paper_literal,80,6400,2024,Setup,fast,100,0,56.36473422,55.8973825,2.324273074012276,53.52724,66.937113,59.514635,0.04123629972138767,True,
