actual_identity_bytes,actual_identity_compact_message_bits,actual_identity_compact_message_bytes,availability,bits_per_zq,canonical_hash_encoding_bytes,element_count,element_kind,family,gaussian_samples,h1,id_mask,item,m,mac_a,mac_b,mathematical_ideal_bits,mathematical_ideal_bytes,matrix_multiply,matrix_vector,mod2,n,network_packets,network_rounds,network_wire_encoding_defined,note,numpy_reference_bytes,paper_compact_message_bits,paper_compact_message_bytes,paper_identity_bits,phase,profile,q,scalar_multiply,section,session_kdf,signal_s,transmitted_fields,vector_add_sub,xor
,,,,,,,,paper_literal,0,0,0,,,0,0,,,0,0,0,,,,,,,,,,setup,paper_correctness,,0,operations,0,0,,0,0
,,,,,,,,paper_literal,3,0,0,,,0,0,,,0,2,0,,,,,,,,,,entity_key_generation,paper_correctness,,2,operations,0,0,,2,0
,,,,,,,,paper_literal,0,1,0,,,0,0,,,0,1,0,,,,,,,,,,kgc_key_generation,paper_correctness,,0,operations,0,0,,1,0
,,,,,,,,paper_literal,0,1,0,,,0,0,,,0,2,0,,,,,,,,,,entity_verify_and_assemble,paper_correctness,,1,operations,0,0,,3,0
,,,,,,,,paper_literal,3,1,0,,,1,0,,,1,1,1,,,,,,,,,,alice_create,paper_correctness,,2,operations,0,1,,2,0
,,,,,,,,paper_literal,2,0,0,,,1,1,,,1,1,1,,,,,,,,,,bob_verify_and_reply,paper_correctness,,1,operations,0,0,,1,0
,,,,,,,,paper_literal,1,0,1,,,0,1,,,0,1,1,,,,,,,,,,alice_verify_and_finish,paper_correctness,,1,operations,1,1,,1,1
,,,,,,,,paper_literal,0,1,1,,,0,0,,,0,1,1,,,,,,,,,,bob_finish,paper_correctness,,0,operations,1,0,,0,1
,,,,,,,,paper_literal,6,2,2,,,2,2,,,2,4,4,,,,,,,,,,full_handshake,paper_correctness,,4,operations,2,2,,4,2
,,,,,,,,paper_literal,0,0,0,,,0,0,,,0,0,0,,,,,,,,,,setup,paper_performance,,0,operations,0,0,,0,0
,,,,,,,,paper_literal,3,0,0,,,0,0,,,0,2,0,,,,,,,,,,entity_key_generation,paper_performance,,2,operations,0,0,,2,0
,,,,,,,,paper_literal,0,1,0,,,0,0,,,0,1,0,,,,,,,,,,kgc_key_generation,paper_performance,,0,operations,0,0,,1,0
,,,,,,,,paper_literal,0,1,0,,,0,0,,,0,2,0,,,,,,,,,,entity_verify_and_assemble,paper_performance,,1,operations,0,0,,3,0
,,,,,,,,paper_literal,3,1,0,,,1,0,,,1,1,1,,,,,,,,,,alice_create,paper_performance,,2,operations,0,1,,2,0
,,,,,,,,paper_literal,2,0,0,,,1,1,,,1,1,1,,,,,,,,,,bob_verify_and_reply,paper_performance,,1,operations,0,0,,1,0
,,,,,,,,paper_literal,1,0,1,,,0,1,,,0,1,1,,,,,,,,,,alice_verify_and_finish,paper_performance,,1,operations,1,1,,1,1
,,,,,,,,paper_literal,0,1,1,,,0,0,,,0,1,1,,,,,,,,,,bob_finish,paper_performance,,0,operations,1,0,,0,1
,,,,,,,,paper_literal,6,2,2,,,2,2,,,2,4,4,,,,,,,,,,full_handshake,paper_performance,,4,operations,2,2,,4,2
,,,,,,,,audited,0,0,0,,,0,0,,,0,0,0,,,,,,,,,,setup,audited_preserve_keylen,,0,operations,0,0,,0,0
