panel,scheme,entities,value,unit,formula_id,evidence_class,status
bits,Ding et al. [35],14,115168,bits,F5-other-bits,paper_reported_reference,reconstructed_partial
rounds,LCLA-AKA,14,3,rounds,F5-LCLA-rounds,lcla_derived,paper_reported_reference
fields,LCLA-AKA,14,7,fields,F5-LCLA-fields,lcla_derived,paper_reported_reference_reinterpreted_fields
bits,LCLA-AKA,14,3147008,bits,F5-LCLA-bits,lcla_derived,reconstructed
rounds,Feng et al. [23],16,18,rounds,F5-other-rounds,paper_reported_reference,reconstructed
fields,Feng et al. [23],16,52,fields,F5-Feng-fields,paper_reported_reference,paper_reported_reference
bits,Feng et al. [23],16,65792,bits,F5-other-bits,paper_reported_reference,reconstructed_partial
rounds,Dabra et al. [34],16,18,rounds,F5-other-rounds,paper_reported_reference,reconstructed
fields,Dabra et al. [34],16,53,fields,F5-Dabra-Ding-fields,paper_reported_reference,paper_reported_reference
bits,Dabra et al. [34],16,102664,bits,F5-other-bits,paper_reported_reference,reconstructed_partial
rounds,Ding et al. [35],16,18,rounds,F5-other-rounds,paper_reported_reference,reconstructed
fields,Ding et al. [35],16,53,fields,F5-Dabra-Ding-fields,paper_reported_reference,paper_reported_reference
bits,Ding et al. [35],16,131584,bits,F5-other-bits,paper_reported_reference,reconstructed_partial
rounds,LCLA-AKA,16,3,rounds,F5-LCLA-rounds,lcla_derived,paper_reported_reference
fields,LCLA-AKA,16,7,fields,F5-LCLA-fields,lcla_derived,paper_reported_reference_reinterpreted_fields
bits,LCLA-AKA,16,3147008,bits,F5-LCLA-bits,lcla_derived,reconstructed
rounds,Feng et al. [23],18,20,rounds,F5-other-rounds,paper_reported_reference,reconstructed
fields,Feng et al. [23],18,58,fields,F5-Feng-fields,paper_reported_reference,paper_reported_reference
bits,Feng et al. [23],18,73984,bits,F5-other-bits,paper_reported_reference,reconstructed_partial
rounds,Dabra et al. [34],18,20,rounds,F5-other-rounds,paper_reported_reference,reconstructed
fields,Dabra et al. [34],18,59,fields,F5-Dabra-Ding-fields,paper_reported_reference,paper_reported_reference
bits,Dabra et al. [34],18,115464,bits,F5-other-bits,paper_reported_reference,reconstructed_partial
rounds,Ding et al. [35],18,20,rounds,F5-other-rounds,paper_reported_reference,reconstructed
fields,Ding et al. [35],18,59,fields,F5-Dabra-Ding-fields,paper_reported_reference,paper_reported_reference
bits,Ding et al. [35],18,148000,bits,F5-other-bits,paper_reported_reference,reconstructed_partial
rounds,LCLA-AKA,18,3,rounds,F5-LCLA-rounds,lcla_derived,paper_reported_reference
fields,LCLA-AKA,18,7,fields,F5-LCLA-fields,lcla_derived,paper_reported_reference_reinterpreted_fields
bits,LCLA-AKA,18,3147008,bits,F5-LCLA-bits,lcla_derived,reconstructed
rounds,Feng et al. [23],20,22,rounds,F5-other-rounds,paper_reported_reference,reconstructed
fields,Feng et al. [23],20,64,fields,F5-Feng-fields,paper_reported_reference,paper_reported_reference
bits,Feng et al. [23],20,82176,bits,F5-other-bits,paper_reported_reference,reconstructed_partial
rounds,Dabra et al. [34],20,22,rounds,F5-other-rounds,paper_reported_reference,reconstructed
fields,Dabra et al. [34],20,65,fields,F5-Dabra-Ding-fields,paper_reported_reference,paper_reported_reference
bits,Dabra et al. [34],20,128264,bits,F5-other-bits,paper_reported_reference,reconstructed_partial
rounds,Ding et al. [35],20,22,rounds,F5-other-rounds,paper_reported_reference,reconstructed
fields,Ding et al. [35],20,65,fields,F5-Dabra-Ding-fields,paper_reported_reference,paper_reported_reference
bits,Ding et al. [35],20,164416,bits,F5-other-bits,paper_reported_reference,reconstructed_partial
